country,country_code,year,population,GDP,GDP_per_capita
Guinea,GIN,2015,11625998,8794201742.84609,756.425533777495
Guinea-Bissau,GNB,2015,1788919,1152384166.79638,644.1790638907519
Guyana,GUY,2015,755031,4279840193.7046,5668.429764744229
Haiti,HTI,2015,10563757,14849629308.6025,1405.7147763435396
Honduras,HND,2015,9294505,20979791685.416,2257.225283693537
Hungary,HUN,2015,9844246,125244126623.289,12722.57180725563
Iceland,ISL,2015,331060,17517210519.0912,52912.494771616024
India,IND,2015,1322866505,2103588360044.94,1590.1743313433883
Indonesia,IDN,2015,259091970,860854232686.214,3322.5816789544424
Iraq,IRQ,2015,37757813,166774104959.102,4416.9429240804275
Ireland,IRL,2015,4665760,302391428540.035,64810.75506241962
Isle of Man,IMN,2015,83593,7084800892.22284,84753.51874227315
Israel,ISR,2015,8007778,303469434072.296,37896.834062120106
Italy,ITA,2015,60232906,1845428048839.1,30638.203789123178
Jamaica,JAM,2015,2794445,14188936918.0036,5077.550969156165
Japan,JPN,2015,127250933,4444930651964.18,34930.43663549547
Jordan,JOR,2015,9494246,38587017887.3239,4064.253010436416
Kazakhstan,KAZ,2015,17835909,184388404706.042,10338.043589818832
Kenya,KEN,2015,46851488,70120446896.8359,1496.6535726002107
Kiribati,KIR,2015,116707,191559398.688293,1641.3702578962102
Kuwait,KWT,2015,3908743,114585555830.916,29315.193101955283
Latvia,LVA,2015,1991955,26344565876.8902,13225.4824415663
Lebanon,LBN,2015,6398940,49929337836.8159,7802.75136769776
Lesotho,LSO,2015,2118521,2359686724.53829,1113.8368345361175
Liberia,LBR,2015,4612329,3227075700.0,699.6629468539646
Libya,LBY,2015,6192235,48717501321.3052,7867.514931410904
Liechtenstein,LIE,2015,37355,6268515276.17441,167809.2698748336
Lithuania,LTU,2015,2963765,41540954817.2039,14016.278219495778
Luxembourg,LUX,2015,569408,60071584216.1375,105498.31441802275
Madagascar,MDG,2015,24850912,11323020701.3017,455.6380345840708
Malawi,MWI,2015,16938942,9219474379.31534,544.276872741836
Malaysia,MYS,2015,31068833,301355266964.947,9699.600463427352
Maldives,MDV,2015,435582,4129505319.12921,9480.431512618083
Mali,MLI,2015,18112907,15583181170.4105,860.3357357496784
Malta,MLT,2015,456579,11340795032.9304,24838.62602732583
Marshall Islands,MHL,2015,49410,183700000.0,3717.8708763408217
Mauritania,MRT,2015,3946220,6166863896.68677,1562.7268364882775
Mauritius,MUS,2015,1293153,12007291045.6489,9285.282596606046
Mexico,MEX,2015,120149897,1213294467779.98,10098.173182620207
Moldova,MDA,2015,3277388,7797667196.73087,2379.232241263735
Monaco,MCO,2015,36760,6264756528.37691,170423.19174039472
Mongolia,MNG,2015,2964749,11619892590.6941,3919.3512134396874
Montenegro,MNE,2015,633966,4054730077.57718,6395.816301784606
Morocco,MAR,2015,34680458,110413823841.592,3183.747568777552
Mozambique,MOZ,2015,26843246,16208985769.615,603.8385137779164
Myanmar,MMR,2015,51483949,59607290407.6191,1157.7839611258084
Namibia,NAM,2015,2282704,11335161083.5061,4965.67276506551
Nauru,NRU,2015,11185,84383388.6448573,7544.33514929435
Nepal,NPL,2015,27610325,24360801286.7638,882.3076615999197
Netherlands,NLD,2015,17041107,775743675302.734,45521.90625308168
New Caledonia,NCL,2015,283032,8738203074.3957,30873.55166340096
New Zealand,NZL,2015,4590590,178224167087.99,38823.80414891985
Nicaragua,NIC,2015,6298598,12756696261.0676,2025.3231371596664
Niger,NER,2015,20128124,9683867926.44282,481.1113011050021
Nigeria,NGA,2015,183995785,493026682800.63,2679.5542234874024
North Macedonia,MKD,2015,2107962,10064519962.5655,4774.526278256202
Northern Mariana Islands,MNP,2015,51514,910000000.0,17665.100749310866
Norway,NOR,2015,5190356,388159512245.53,74784.75700809926
Oman,OMN,2015,4191776,78710793237.9714,18777.433058916173
Pakistan,PAK,2015,210969298,299963590534.773,1421.8352783008881
Palau,PLW,2015,17794,278824800.0,15669.596493199955
Panama,PAN,2015,3957099,55767806100.0,14093.103584216618
Papua New Guinea,PNG,2015,8682174,21723437010.0982,2502.073444980278
Paraguay,PRY,2015,6177950,36211447840.0971,5861.401895466473
Peru,PER,2015,30711863,189802976285.619,6180.1192681023285
Philippines,PHL,2015,103031365,306445871242.322,2974.296916694465
Poland,POL,2015,38553146,480054118583.367,12451.74955588234
Portugal,PRT,2015,10365435,199038523119.639,19202.13894734172
Qatar,QAT,2015,2414573,161739955576.923,66984.91020023955
Romania,ROU,2015,19906079,177885131240.315,8936.221505014373
Rwanda,RWA,2015,11642959,8543760205.73641,733.813475228798
Samoa,WSM,2015,203571,824150498.653536,4048.4671129656776
San Marino,SMR,2015,33570,1419401070.56043,42281.83111589008
Sao Tome and Principe,STP,2015,201124,259999643.047388,1292.7330554652253
Saudi Arabia,SAU,2015,32749848,693414400000.0,21173.057047470877
Senegal,SEN,2015,14356181,17774766696.1759,1238.126399783891
Serbia,SRB,2015,7519496,41297410634.9586,5492.045030007144
Seychelles,SYC,2015,99240,1432403352.12944,14433.72986829343
Sierra Leone,SLE,2015,7314773,6788352974.78329,928.0333066772256
Singapore,SGP,2015,5650018,307998545269.398,54512.8431926054
Slovenia,SVN,2015,2080862,42709468274.8137,20524.892220057696
Solomon Islands,SLB,2015,612660,1307909887.55212,2134.805418261548
Somalia,SOM,2015,13763906,6152149099.99942,446.976977320204
South Africa,ZAF,2015,55876504,346709790458.563,6204.929901458456
South Sudan,SSD,2015,11194299,11997800760.2242,1071.7777647554526
Spain,ESP,2015,46431342,1206164777553.12,25977.38349998844
Sri Lanka,LKA,2015,21336697,85090301052.0465,3987.9790696773025
Sudan,SDN,2015,38171178,51726758676.7677,1355.126076454012
Suriname,SUR,2015,575475,5126237646.22072,8907.837258300917
Sweden,SWE,2015,9849349,501698263620.663,50937.20037950356
Switzerland,CHE,2015,8281732,694118186379.628,83813.16690513869
Tajikistan,TJK,2015,8524063,8271431485.07484,970.3625471884523
Tanzania,TZA,2015,52542823,47413919817.124,902.3862272707349
Thailand,THA,2015,70294397,401296238228.084,5708.794091057983
Timor-Leste,TLS,2015,1205813,1590282400.0,1318.846620495881
Togo,TGO,2015,7473229,5755461035.38026,770.1438073663019
Tonga,TON,2015,106122,437525538.903019,4122.854251738744
Trinidad and Tobago,TTO,2015,1460177,26841143094.6765,18382.116068583808
Tunisia,TUN,2015,11557779,45779494041.9295,3960.924849136629
Turkmenistan,TKM,2015,5766431,35799714285.7143,6208.296654501598
Turks and Caicos Islands,TCA,2015,36538,942070000.0,25783.29410476764
Tuvalu,TUV,2015,10877,36811936.0824587,3384.3832014763902
Uganda,UGA,2015,37477356,32387183730.1002,864.1800592896735
Ukraine,UKR,2015,44982564,91030967789.0717,2023.6945094786438
United Arab Emirates,ARE,2015,8916899,370275469571.137,41525.13890435868
United Kingdom,GBR,2015,65224364,2927911140916.73,44889.83811197806
United States,USA,2015,324607776,18295019000000.0,56360.38429344342
Uruguay,URY,2015,3402818,57680327998.6689,16950.75316948156
Uzbekistan,UZB,2015,30949417,86196264755.3105,2785.0690937186473
Vanuatu,VUT,2015,276438,759690180.951654,2748.1394777550627
Zambia,ZMB,2015,16248230,21251216798.7762,1307.909649160321
Zimbabwe,ZWE,2015,14154937,19963058858.4528,1410.3248116507195
